Position,Artist Name,Song Name,Days,Top 10 (xTimes),Peak Position,Peak Position (xTimes),Peak Streams,Total Streams
1,Post Malone ,Sunflower  SpiderMan: Into the SpiderVerse,1506,302,1,(x29),2118242,883369738
2,Juice WRLD ,Lucid Dreams,1673,178,1,(x20),2127668,864832399
3,Lil Uzi Vert ,XO TOUR Llif3,1853,212,1,(x4),1660502,781153024
4,J. Cole ,No Role Modelz,2547,6,7,0,659366,734857487
5,Post Malone ,rockstar,1223,186,1,(x124),2905678,718865961
6,Travis Scott ,goosebumps,1995,4,8,0,977275,672972704
7,The Weeknd ,Blinding Lights,1100,233,1,(x11),2355059,644287953
8,XXXTENTACION ,Jocelyn Flores,1673,44,2,(x1),3175206,624457164
9,XXXTENTACION ,SAD!,1217,133,1,(x6),4437612,619879245
10,Juice WRLD ,All Girls Are The Same,1681,2,5,0,1239152,613872384
11,Kendrick Lamar ,HUMBLE.,1175,152,1,(x67),4060034,606305588
12,Post Malone ,Circles,1172,163,1,(x38),3441328,598521764
13,Travis Scott ,SICKO MODE,1046,190,1,(x19),4129691,586638599
14,Lil Baby ,Drip Too Hard (Lil Baby & Gunna),1453,122,1,(x6),1759294,583443174
15,Post Malone ,Congratulations,1215,136,5,0,1263208,546036924
16,Post Malone ,I Fall Apart,1278,132,2,(x14),1275320,543144261
17,Glass Animals ,Heat Waves,763,248,1,(x34),1230046,540754791
18,Drake ,God's Plan,634,139,1,(x70),4739798,534994242
19,Roddy Ricch ,The Box,650,197,1,(x85),3781452,504210201
20,J. Cole ,MIDDLE CHILD,1119,106,1,(x16),3800251,481985952
21,XXXTENTACION ,Fuck Love,1406,9,5,0,2438715,473417295
22,Post Malone ,Better Now,862,72,1,(x8),3467168,463551468
23,Drake ,One Dance,772,187,1,(x103),2767175,454267392
24,Olivia Rodrigo ,good 4 u,547,187,1,(x53),4974833,454100610
25,Juice WRLD ,Robbery,1086,38,2,(x2),1724447,443773199
26,Billie Eilish ,lovely,1250,0,18,0,733267,437911914
27,Joji ,SLOW DANCING IN THE DARK,1496,0,26,0,661274,437333177
28,XXXTENTACION ,Moonlight,923,57,2,(x2),3167290,431568186
29,Offset ,Ric Flair Drip (& Metro Boomin),1065,86,4,0,1040394,427614856
30,The Kid LAROI ,Stay,531,271,1,(x45),2345292,426712325
31,Lewis Capaldi ,Someone You Loved,952,40,5,0,1118953,410725370
32,Harry Styles ,Watermelon Sugar,988,65,3,(x3),1609066,409073262
33,Post Malone ,Wow.,699,115,1,(x6),2317682,405812776
34,Khalid ,Location,999,29,9,0,958542,403645089
35,The Neighbourhood ,Sweater Weather,1050,0,12,0,671844,400804036
36,Lil Baby ,Yes Indeed,970,43,2,(x9),1838350,400193604
37,The Chainsmokers ,Closer,696,158,1,(x70),2504045,397735618
38,Post Malone ,Psycho,607,107,1,(x1),3261937,396525691
39,The Weeknd ,The Hills,1243,194,1,(x6),1147436,392023505
40,Dua Lipa ,Levitating,738,113,3,(x3),1284080,387860108
41,Billie Eilish ,bad guy,652,108,1,(x20),2931099,385813103
42,Morgan Wallen ,Whiskey Glasses,1324,0,33,0,447546,385368118
43,Olivia Rodrigo ,drivers license,613,99,1,(x46),6145601,381085710
44,Doja Cat ,Kiss Me More,550,151,1,(x11),1846647,376965422
45,DaBaby ,ROCKSTAR,549,164,1,(x65),1975668,373388283
46,Lil Nas X ,INDUSTRY BABY,472,267,1,(x42),2492612,373383279
47,The Weeknd ,Starboy,785,141,1,(x29),2070596,368997138
48,Childish Gambino ,Redbone,1075,42,8,0,950460,363834232
49,Lil Mosey ,Blueberry Faygo,603,152,2,(x12),1428849,355016723
50,Meek Mill ,Going Bad,638,117,2,(x10),1719834,349994217